Date,Record Number,Record Type,Address,City,ZIP,State,Country,Description,Permit Name,Status
2/11/2019,ZLA-201900730,Business Licenses,1860 MEMORIAL DR SE,Atlanta,30317,GA,United States,PHARMWORKS GROUP LLC / TOTAL PHARMACY COMMUNITY RETAIL PHARMACY,PHARMWORKS GROUP LLC / TOTAL PHARMACY,License Approved
2/11/2019,BB-201901019,Residential Misc. Non-Structural,56 BOULEVARD SE,Atlanta,30312,GA,United States,THE REMOVAL OF A SMALL RETAINING WALL THAT BLOCKS ACCESS TO MY SIDE YARD FOR LAWN MAINTENANCE DUE TO  THE OWNER,RICKS RESIDENCE,Open
2/11/2019,BB-201901010,Commercial Alteration,3193 HOWELL MILL RD NW,Atlanta,30327,GA,United States,"EXISTING SUITE IN MEDICAL BUILDING, EXPANDING INTO A PORTION OF ADJACENT SUITE.",ATLANTA FOOT CARE CENTER-ALTERATIONS-XPRS,Open
2/11/2019,ZLA-201900725,Alcohol Licenses,800 CHEROKEE AVE SE,Atlanta,30315,GA,United States,"RESTAURANT WITH MALT BEVERAGES, WINE AND DISTILLED SPIRITS CONSUMED ON PREMISES WITH CUSTOMER DANCING AND LIVE ENTERTAINMENT","ZOO ATLANTA (WILD PLANET, WILD BURGER, WILLIE B'S)",License Approved
2/11/2019,BM-201900783,Residential - HVAC,2052 BAKER RD NW,Atlanta,30318,GA,United States,INSTALL HEAT PUMP/ 2 TON/DUCT WORK,RESIDENTIAL/HVAC,Issued
2/11/2019,BM-201900790,Commercial - HVAC,521 CAPITOL AVE SW,Atlanta,30312,GA,United States,PHASE 2 LEVEL 2/ AKA 521 HANK AARONINSTALL NEW HVAC,COMMERCIAL/HVAC / PHASE2 LEVEL 2/ AKA 521 HANK AARON,Issued
2/11/2019,BE-201901742,Residential - Electrical,2873 ALSTON DR SE,Atlanta,30317,GA,United States,RESIDENTIAL / ELECTRICAL / GENERAL,RESIDENTIAL / ELECTRICAL / GENERAL,Issued
2/11/2019,BB-201901021,Residential Misc. Non-Structural,12 VERNON RD NW,Atlanta,30305,GA,United States,Misc site work and landscaping including gravel driveway and low retaining wall.,Haney,Open
2/11/2019,ZLA-201900729,Business Licenses,1919 METROPOLITAN PKWY SW,Atlanta,30315,GA,United States,URBAN CHIC  BARBERSHOP,URBAN CHIC,License Approved
2/11/2019,ORR-201900250,Open Record Request,668 HIGHLAND AVE,Atlanta,30312,GA,United States,REQUESTING PLANS/DRAWINGS AFFILIATED WITH PERMIT NUMBER BB-201804611. ISSUED 06/15/2018.,668 HIGHLAND AVE NE - ORR,Open
