Date,Record Number,Record Type,Address,Description,Permit Name,Status,Short Notes
2/11/2019,ZLA-201900730,Business Licenses,"1860 MEMORIAL DR SE, ATLANTA GA 30317",PHARMWORKS GROUP LLC / TOTAL PHARMACY COMMUNITY RETAIL PHARMACY,PHARMWORKS GROUP LLC / TOTAL PHARMACY,License Approved,
2/11/2019,BB-201901019,Residential Misc. Non-Structural,"56 BOULEVARD SE, ATLANTA GA 30312",THE REMOVAL OF A SMALL RETAINING WALL THAT BLOCKS ACCESS TO MY SIDE YARD FOR LAWN MAINTENANCE DUE TO  THE OWNER,RICKS RESIDENCE,Open,
2/11/2019,BB-201901010,Commercial Alteration,"3193 HOWELL MILL RD NW, 110, ATLANTA GA 30327","EXISTING SUITE IN MEDICAL BUILDING, EXPANDING INTO A PORTION OF ADJACENT SUITE.",ATLANTA FOOT CARE CENTER-ALTERATIONS-XPRS,Open,
2/11/2019,ZLA-201900725,Alcohol Licenses,"800 CHEROKEE AVE SE, ATLANTA GA 30315","RESTAURANT WITH MALT BEVERAGES, WINE AND DISTILLED SPIRITS CONSUMED ON PREMISES WITH CUSTOMER DANCING AND LIVE ENTERTAINMENT","ZOO ATLANTA (WILD PLANET, WILD BURGER, WILLIE B'S)",License Approved,
2/11/2019,BM-201900783,Residential - HVAC,"2052 BAKER RD NW, ATLANTA GA 30318",INSTALL HEAT PUMP/ 2 TON/DUCT WORK,RESIDENTIAL/HVAC,Issued,
2/11/2019,BM-201900790,Commercial - HVAC,"521 CAPITOL AVE SW, REAR2, ATLANTA GA 30312",PHASE 2 LEVEL 2/ AKA 521 HANK AARONINSTALL NEW HVAC,COMMERCIAL/HVAC / PHASE2 LEVEL 2/ AKA 521 HANK AARON,Issued,
2/11/2019,BE-201901742,Residential - Electrical,"2873 ALSTON DR SE, ATLANTA GA 30317",RESIDENTIAL / ELECTRICAL / GENERAL,RESIDENTIAL / ELECTRICAL / GENERAL,Issued,
2/11/2019,BB-201901021,Residential Misc. Non-Structural,"12 VERNON RD NW, ATLANTA GA 30305",Misc site work and landscaping including gravel driveway and low retaining wall.,Haney,Open,
2/11/2019,ZLA-201900729,Business Licenses,"1919 METROPOLITAN PKWY SW, ATLANTA GA 30315",URBAN CHIC  BARBERSHOP,URBAN CHIC,License Approved,
2/11/2019,ORR-201900250,Open Record Request,"668 HIGHLAND AVE, ATLANTA GA 30312",REQUESTING PLANS/DRAWINGS AFFILIATED WITH PERMIT NUMBER BB-201804611. ISSUED 06/15/2018.,668 HIGHLAND AVE NE - ORR,Open,
2/11/2019,BE-201901736,Commercial - Electrical,"270 17TH ST NW, ATLANTA GA 30318",UNIT #4602REPLACE DEVICES AND LIGHTS,COMMERCIAL / ELECTRICAL - GENERAL - UNIT #4602,Issued,
2/11/2019,ZLA-201900722,Alcohol Licenses,"554 PIEDMONT AVE NE, ATLANTA GA 30308",GREENHOUSE RESTAURANT - #ARESTAURANT WITH LIQUOR BEER WINE CONSUMED LIVE ENTERTAINMENT (BB-201801878),GREENHOUSE RESTAURANT - #A,Zoning Review,
2/11/2019,BT-201900326,Temporary Power,"632 SOUTH EUGENIA PL NW, ATLANTA GA 30318",TEMPORARY POWER,RESIDENTIAL / ELECTRICAL - TPOWR,Issued,
2/11/2019,BP-201900926,Residential - Plumbing,"2219 DUNSEATH AVE NW, ATLANTA GA 30318",SEWER PLUG,RESIDENTIAL/PLUMBING/,Issued,
2/11/2019,BM-201900795,Commercial - HVAC,"521 CAPITOL AVE SW, REAR2, ATLANTA GA 30312",PHASE 2 LEVEL 1/ AKA 521 HANK AARONINSTALL NEW HVAC,COMMERCIAL/HVAC / PHASE2 LEVEL 1/ AKA 521 HANK AARON,Open,
2/11/2019,BE-201901732,Commercial - Low Voltage,"270 PEACHTREE ST NW, ATLANTA GA 30303",( 2 )   12 Volt 7 Amp  12 Volt 7 Amp Battery [BP12V7A]( 1 )   FCPS-24S8  Notifier 8 Amp Power Supply W/sync( 1 )   FCM-1  Addressable Control Module (Requires Programming)( 12 )   E7024MCWFW  Wheelock Multicandela Wall White Speaker Strobe [WH-109023]( 12 )   STW  Wheelock Wall White Strobe Only Exceder( 1 )   Programming by Mitec Notifier,"QQ#255431 Peachtree Building 270 for Contract Builders, Inc.",ACA Pending,
2/11/2019,BA-201901000,Arborist Dead Dying Hazardous Tree,"3532 PACES VALLEY RD NW, ATLANTA GA 30327",,,Accepted,
